Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\happy_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\sad_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
I am restless; I cannot stay still for long,a20k,315.9883446,-,2,[808.0],[856.0],0.805693069,0.190594059,0.003712871,0.376168224,0.607476636,0.01635514
I get a lot of headaches; stomach-aches or sickness,a20h,270.3834925,-,2,[807.0],[867.0],0.791821561,0.199504337,0.008674102,0.400230681,0.594002307,0.005767013
I have many fears and I am easily scared,a20j,253.7336712,-,2,[812.0],[868.0],0.552955665,0.4408867,0.006157635,0.179723502,0.811059908,0.00921659
I am easily distracted and find it difficult to concentrate,a20n,188.7413532,-,2,[793.0],[859.0],0.549810845,0.446406053,0.003783102,0.223515716,0.759022119,0.017462165
I worry a lot,a20f,182.6859938,-,2,[809.0],[863.0],0.433868974,0.56118665,0.004944376,0.136732329,0.85631518,0.006952491
I am nervous in certain new situations; I easily lose confidence,a20g,180.8604571,-,2,[807.0],[846.0],0.607187113,0.385377943,0.007434944,0.278959811,0.710401891,0.010638298
I am usually on my own; I generally play alone or keep to myself,a20r,135.9936613,-,2,[798.0],[850.0],0.745614035,0.253132832,0.001253133,0.469411765,0.510588235,0.02
I get called names or insulted by other children,a21d,131.9715807,-,2,[787.0],[843.0],0.611181703,0.377382465,0.011435832,0.327402135,0.648873072,0.023724792
People seem to think I am not smart,a21b,129.9458596,-,2,[798.0],[843.0],0.720551378,0.263157895,0.016290727,0.442467378,0.524317912,0.033214709
People seem to think they’re better than me,a21c,125.9537094,-,2,[792.0],[841.0],0.601010101,0.378787879,0.02020202,0.324613555,0.64803805,0.027348395
