C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_12to14_preprocessed.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_9to11_preprocessed.csv
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.1138639214690863,+,1
Father,a3b,0.038342849323634909,-,1
Step or foster mother,a3c,3.3831242804767081,-,1
Step or foster father,a3d,0.91049368157278021,+,1
Grandparent(s) or other relatives,a3e,2.4604037009448687,-,1
Siblings (including half; step or foster siblings),a3f,0.081856680660289879,+,1
My spouse or partner (including boyfriend/girlfriend),a3g,,,1
My child or children,a3h,0.1777257147815523,+,1
Parents (or relatives) of my spouse or partner,a3i,0.0001287494311660179,-,1
I live in a foster home or children's home,a3j,,,1
I live alone,a3k,,,1
Someone or somewhere else: please state____,a3l,0.33664560448675107,-,1
I am a school student,a4a,18.210893805550093,-,1
I am a student in college,a4g,,,1
I am attending training in technical/vocational course,a4h,,,1
I do paid employment,a4c,7.3396577612285077,+,1
I do unpaid work,a4d,0.74800564763672273,+,1
I am looking for work,a4e,,,1
I help out at home,a4f,25.515861735682122,+,1
I am currently in a vacation,a4i,10.210949719196133,+,1
Schooling,a5,10.862674228369894,+,1
null,b1,,,15
Age,b3,1.5011406249919856,+,1
At school or college,b6a,41.580630520472397,+,1
At home,b6b,15.895129941960015,+,1
In the home of friends or relatives,b6c,16.525291928447984,+,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.20371566578821498,+,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,14.857237755730944,+,1
When I am somewhere by myself,b6f,17.260677337963013,+,1
PisoNet,b6g,1.6109935428870827,-,1
A mobile phone that is not a smartphone,b7a,6.4742750612390436,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,19.830575991889852,+,1
A desktop computer,b7c,0.026172169064420003,-,1
A laptop or notebook computer,b7d,8.6742499093039385,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.049101669970229425,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,1.2205220659474141,+,1
A mobile phone that is not a smartphone,b8a,3.1685829730024326,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,17.354902980539617,+,1
A desktop computer,b8c,0.10630348254140151,+,1
A laptop or notebook computer,b8d,0.19486282947821376,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.095671638419703095,+,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.016482786306565862,-,1
I use a postpaid plan (i.e.; with contracts),b9a,0.0034464143548890371,-,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,9.9343203014302102,+,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.26174334459910414,-,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,47.860690705326554,+,1
null,b10a,14.135262587389926,+,1
My parents,b10b1,11.44195793299893,-,1
My siblings,b10b2,3.0863302754750168,-,1
Relatives,b10b3,0.058978887375413548,-,1
Friends who are the same age as I am,b10c1,18.830630809741063,+,1
Friends who are older than me,b10c2,0.00064898512458833252,+,1
My teacher,b10d,1.8263237164936164,-,1
Others,b10e,0.74414672138513516,-,1
Hours,b11,28.626863173454069,-,11
Hours,b12,55.376203701348146,-,11
null,c1,0.15684079592039335,-,1
null,c2,0.27376804380288633,-,1
I learned something new by searching online,c4a,17.719854442113977,+,1
I used the internet for schoolwork,c4c,24.793002353424718,+,1
I looked for information about work or study opportunities,c4b,11.262101841394411,+,1
Checked maps,c4c1,1.5936002122158643,+,1
I looked for information about the place I want to go visit/eat,c4c2,10.983888444617392,+,1
I looked for resources or events about my local neighbourhood,c4d,0.15199194117147827,+,1
I got involved online in a local organisation or charity,c4f,2.7854219534517028,+,1
I used the internet to help somebody else,c4g,2.8365991440361342,+,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,8.8190989397722781,+,1
I looked for the news online,c4h,12.366248793928783,+,1
I discussed political or social problems with other people online,c4i,7.6708650001219585,+,1
I got involved online in a campaign or protest,c4j,0.00041424597005152174,+,1
I signed a petition online,c4k,1.2372929177827992,-,1
I used the internet to join a civic; religious or political group,c4l,1.0258163606845052,+,1
I posted videos or music created by someone else,c4o,1.6429011922046239,+,1
I created my own video or music and uploaded it to share,c4m,2.0807926829268291,+,1
I created a blog or story or website online,c4n,0.16017265630841115,-,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.062515438857728561,-,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,6.2366568277157413,+,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,33.328765418161623,+,1
I helped someone else who needed or wanted to go online,c4t,9.9629557034272125,+,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,6.9792885805330531,+,1
I commented on the updates that friends or family have put online,c4u,31.846150501667246,+,1
I re-posted or shared a social media post online,c4t1,12.120407634563051,+,1
