C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_15to17_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\natoinal_12to14_preprocessed.csv,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
null,b1,240.2661796,-,14
null,f28,43.9818522,+,1
Hours,b11,35.68728611,-,11
A friend around my age,h2c,35.59064547,+,1
Update my status on the social networking site I use the most,e3g,33.45725168,+,1
I know how to behave according to the situation online,e1o,31.15598534,+,1
I looked for the news online,c4h,30.18746068,+,1
Hours,b12,28.98733635,-,11
A friend around my age,c7c,28.01818635,+,1
Ways of courtship,f41g,26.46077123,+,1
I know how to block,e1m1,26.38699471,+,1
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,26.06933355,+,1
I have seen or received a sexual message; image or video about someone else that I did not want,g1c,24.40043291,+,1
I know how to safeguard my online expenses while using mobile apps,e1w,24.31954717,+,1
I can talk about my problems with my friends,k1c,23.99214598,+,1
I know how to change my privacy settings (e.g. on a social networking site),e1b,23.62169709,+,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,23.4715964,+,1
When I am somewhere by myself,b6f,23.4521201,+,1
Boyfriend/Girlfriend,h2l,23.18634075,+,1
A friend around my age,c6c,22.53779244,+,1
I know when I should and shouldn't share information online,e1n,22.21515755,+,1
null,d12,20.94533625,-,1
Your school,d9e,20.58821402,+,1
Your correct age,d9f,19.24238661,+,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,18.87429084,+,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,18.85548243,+,1
At school or college,b6a,18.49796562,+,1
Wikipedia,d1i,17.93999193,+,1
I find it easy to choose the best keywords for online searches,e1h,17.58193637,+,1
Compare similar apps to choose the one that is most reliable,e3i,17.21386198,+,1
I re-posted or shared a social media post online,c4t1,16.5836345,+,1
Minecraft,d15a,16.34481235,-,1
Making pictures,c10c,16.2174771,+,1
Checking out information on the school website,c10e,16.1722457,+,1
Friends who are the same age as I am,b10c1,16.04876739,+,1
Suggested ways to behave towards other people on the internet,k2e,16.02343188,+,1
I have gone without eating or sleeping because of the time I spent on the internet,f45a,15.98860043,+,1
I commented on the updates that friends or family have put online,c4u,15.72346623,+,1
null,f34,15.68826904,+,1
My brother or sister (or step/foster/half siblings),c7b,15.68607143,+,1
