C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_9to11_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\natoinal_12to14_preprocessed.csv
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.133034649282472,-,1
Father,a3b,0.002969922524395154,+,1
Step or foster mother,a3c,3.5125684146634972,+,1
Step or foster father,a3d,0.8513280394304485,-,1
Grandparent(s) or other relatives,a3e,3.1969666492310864,+,1
Siblings (including half; step or foster siblings),a3f,0.041673500466892104,-,1
My spouse or partner (including boyfriend/girlfriend),a3g,,,1
My child or children,a3h,0.30306326067491307,-,1
Parents (or relatives) of my spouse or partner,a3i,0.002547002875470088,+,1
I live in a foster home or children's home,a3j,,,1
I live alone,a3k,,,1
Someone or somewhere else: please state____,a3l,0.2544272754034116,+,1
I am a school student,a4a,17.840987305399914,+,1
I am a student in college,a4g,,,1
I am attending training in technical/vocational course,a4h,,,1
I do paid employment,a4c,7.224274961196721,-,1
I do unpaid work,a4d,0.7074247034723474,-,1
I am looking for work,a4e,,,1
I help out at home,a4f,27.009486302303557,-,1
I am currently in a vacation,a4i,10.678778035768632,-,1
Schooling,a5,12.110231310893283,-,1
null,b1,,,15
Age,b3,1.5409274201743621,-,1
At school or college,b6a,41.92053631168859,-,1
At home,b6b,14.21766193906739,-,1
In the home of friends or relatives,b6c,16.24963102964179,-,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.16744980090344605,-,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,14.666818602763998,-,1
When I am somewhere by myself,b6f,16.644933482021433,-,1
PisoNet,b6g,1.8901869097733954,+,1
A mobile phone that is not a smartphone,b7a,7.082383317034542,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,19.650595295137194,-,1
A desktop computer,b7c,0.11574235340108754,+,1
A laptop or notebook computer,b7d,8.373987831716708,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.00023119928460862922,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,1.200304125365359,-,1
A mobile phone that is not a smartphone,b8a,4.052790320807218,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,18.704715671941543,-,1
A desktop computer,b8c,0.2734032081754913,-,1
A laptop or notebook computer,b8d,0.2227803156595728,+,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.22899192821067743,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.0,-,1
I use a postpaid plan (i.e.; with contracts),b9a,0.00014524889859335104,+,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,10.883703994868934,-,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.2256119676382863,+,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,49.909870188225504,-,1
null,b10a,15.059390234049435,-,1
My parents,b10b1,10.04010776064951,+,1
My siblings,b10b2,3.5146904565624437,+,1
Relatives,b10b3,0.0999576838153141,+,1
Friends who are the same age as I am,b10c1,18.31482505513189,-,1
Friends who are older than me,b10c2,0.0025574020450717465,+,1
My teacher,b10d,1.9326795527988367,+,1
Others,b10e,0.5721859018997225,+,1
Hours,b11,28.58220022666114,+,11
Hours,b12,54.777254378535595,+,11
null,c1,0.23193125161767741,+,1
null,c2,0.3291988869678058,+,1
I learned something new by searching online,c4a,16.784797344361746,-,1
I used the internet for schoolwork,c4c,23.656345370208758,-,1
I looked for information about work or study opportunities,c4b,11.29113456880744,-,1
Checked maps,c4c1,1.349754568005007,-,1
I looked for information about the place I want to go visit/eat,c4c2,11.178398908424318,-,1
