Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\12to14_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\15to17_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
Gender,a1,0.003691624,+,1,[656.0],[640.0],0.442073171,0.557926829,0,0.44375,0.55625,0
Mother,a3a,3.366514711,+,1,[646.0],[627.0],0.142414861,0.857585139,0,0.180223285,0.819776715,0
Father,a3b,0.915258,+,1,[646.0],[627.0],0.221362229,0.778637771,0,0.244019139,0.755980861,0
Step or foster mother,a3c,1.17821884,-,1,[646.0],[627.0],0.984520124,0.015479876,0,0.976076555,0.023923445,0
Step or foster father,a3d,0.082271582,+,1,[646.0],[627.0],0.975232198,0.024767802,0,0.977671451,0.022328549,0
Grandparent(s) or other relatives,a3e,0.512718235,+,1,[646.0],[627.0],0.704334365,0.295665635,0,0.722488038,0.277511962,0
Siblings (including half; step or foster siblings),a3f,1.604840871,+,1,[646.0],[627.0],0.275541796,0.724458204,0,0.307814992,0.692185008,0
My spouse or partner (including boyfriend/girlfriend),a3g,3.137686384,-,1,[646.0],[627.0],0.992260062,0.007739938,0,0.980861244,0.019138756,0
My child or children,a3h,0.011353359,+,1,[646.0],[627.0],0.976780186,0.023219814,0,0.977671451,0.022328549,0
Parents (or relatives) of my spouse or partner,a3i,0.180386089,+,1,[646.0],[627.0],0.970588235,0.029411765,0,0.974481659,0.025518341,0
I live in a foster home or children's home,a3j,,,1,[646.0],[627.0],0.998452012,0.001547988,0,0.998405104,0.001594896,0
I live alone,a3k,,,1,[646.0],[627.0],0.996904025,0.003095975,0,1,0,0
Someone or somewhere else: please state____,a3l,0.102403946,+,1,[646.0],[627.0],0.958204334,0.041795666,0,0.961722488,0.038277512,0
I am a school student,a4a,11.79895867,+,1,[650.0],[634.0],0.044615385,0.955384615,0,0.093059937,0.906940063,0
I am a student in college,a4g,6.105385132,-,1,[648.0],[634.0],0.992283951,0.007716049,0,0.974763407,0.025236593,0
I am attending training in technical/vocational course,a4h,4.124256911,-,1,[648.0],[634.0],0.990740741,0.009259259,0,0.976340694,0.023659306,0
I do paid employment,a4c,2.367311003,-,1,[648.0],[634.0],0.983024691,0.016975309,0,0.970031546,0.029968454,0
I do unpaid work,a4d,0.077902022,-,1,[648.0],[634.0],0.986111111,0.013888889,0,0.984227129,0.015772871,0
I am looking for work,a4e,8.408074503,-,1,[648.0],[634.0],0.99691358,0.00308642,0,0.979495268,0.020504732,0
I help out at home,a4f,0.402543936,-,1,[648.0],[634.0],0.668209877,0.331790123,0,0.651419558,0.348580442,0
I am currently in a vacation,a4i,1.263249346,+,1,[648.0],[634.0],0.865740741,0.134259259,0,0.886435331,0.113564669,0
Schooling,a5,,,3,[647.0],[627.0],0.00618238,0.986089645,0.007727975,0.007974482,0.988835726,0.003189793
How old were you when you first used the internet?,b1,47.01788003,+,1,[638.0],[632.0],0.757053292,0.242946708,0,0.901898734,0.098101266,0
Are you able to access the internet when you want to or need to?,b3,4.433193454,-,1,[647.0],[630.0],0.081916538,0.918083462,0,0.052380952,0.947619048,0
At school or college,b6a,18.9363086,-,2,[636.0],[627.0],0.70754717,0.283018868,0.009433962,0.594896332,0.398724083,0.006379585
At home,b6b,9.203565262,-,2,[637.0],[625.0],0.497645212,0.494505495,0.007849294,0.4128,0.5792,0.008
In the home of friends or relatives,b6c,,,2,[637.0],[625.0],0.708006279,0.287284144,0.004709576,0.6688,0.3312,0
In a public place (for example; in libraries; cafés; computer shops),b6d,,,2,[638.0],[623.0],0.659874608,0.335423197,0.004702194,0.64847512,0.343499197,0.008025682
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,7.331978417,-,2,[633.0],[619.0],0.849921011,0.135860979,0.014218009,0.823909532,0.172859451,0.003231018
When I am somewhere by myself,b6f,28.29301087,-,2,[633.0],[621.0],0.701421801,0.287519747,0.011058452,0.560386473,0.431561997,0.00805153
PisoNet,b6g,1.67516683,+,2,[636.0],[619.0],0.688679245,0.305031447,0.006289308,0.707592892,0.281098546,0.011308562
A mobile phone that is not a smartphone,b7a,,,2,[629.0],[616.0],0.763116057,0.227344992,0.009538951,0.680194805,0.314935065,0.00487013
