Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Mother,a3a,0.4129004743597513,+,1
Father,a3b,0.41083995998233874,+,1
Step or foster mother,a3c,0.80612026810301707,+,1
Step or foster father,a3d,0.30690883713052541,-,1
Grandparent(s) or other relatives,a3e,1.2336611442759502,+,1
Siblings (including half; step or foster siblings),a3f,0.30820255375890498,+,1
My spouse or partner (including boyfriend/girlfriend),a3g,0.19831184557433731,-,1
My child or children,a3h,6.7621602931567718e-05,-,1
Parents (or relatives) of my spouse or partner,a3i,0.044882654211284158,-,1
I live in a foster home or children's home,a3j,0.0079305631512313762,+,1
I live alone,a3k,0.60217779834052365,-,1
Someone or somewhere else: please state____,a3l,0.33223811573046114,+,1
I am a school student,a4a,15.956533750633227,+,1
I am a student in college,a4g,6.3744214378363697,-,1
I am attending training in technical/vocational course,a4h,3.7945131460713375,-,1
I do paid employment,a4c,6.6973601888600935,-,1
I do unpaid work,a4d,0.0018271774416223712,-,1
I am looking for work,a4e,0.57809955861525342,-,1
I help out at home,a4f,16.010373688770912,-,1
I am currently in a vacation,a4i,4.7826596761589437,-,1
Schooling,a5,9.1629213267191716,-,1
null,b1,311.30654023731933,,15
Age,b3,5.1342774350762452,-,1
At school or college,b6a,35.609444617691182,-,1
At home,b6b,19.266017497980204,-,1
In the home of friends or relatives,b6c,11.533012763282448,-,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.085601353488035298,-,1
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,10.250055220640668,-,1
When I am somewhere by myself,b6f,25.703298956192871,-,1
PisoNet,b6g,1.3356500248308669,+,1
A mobile phone that is not a smartphone,b7a,9.2675013393465751,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,27.067331337211343,-,1
A desktop computer,b7c,0.024723401591904236,-,1
A laptop or notebook computer,b7d,3.9846049677055282,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,0.34798292191508046,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.50576623993396286,-,1
A mobile phone that is not a smartphone,b8a,6.2703457644403153,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,18.523317163889111,-,1
A desktop computer,b8c,2.2133808316047094,-,1
A laptop or notebook computer,b8d,0.028002252355080734,-,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,0.82496600412656362,-,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,0.0050472191005697838,-,1
I use a postpaid plan (i.e.; with contracts),b9a,0.13337101532899884,-,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,12.124655864243309,-,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.0046104046076836606,-,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,45.064533828452937,-,1
null,b10a,16.231102093531444,-,1
My parents,b10b1,7.0216621970802553,+,1
My siblings,b10b2,0.99992607986381299,+,1
Relatives,b10b3,0.0012273184137079429,-,1
Friends who are the same age as I am,b10c1,18.460245372679367,-,1
Friends who are older than me,b10c2,0.12613555041763302,+,1
My teacher,b10d,1.6062830516412796,+,1
Others,b10e,0.48755332824431902,+,1
Hours,b11,25.083196006353376,,11
Hours,b12,46.793040981182941,,11
null,c1,0.70893786992588159,+,1
null,c2,0.16036884859225845,+,1
I learned something new by searching online,c4a,7.4411644242226673,-,1
I used the internet for schoolwork,c4c,17.304359047665393,-,1
I looked for information about work or study opportunities,c4b,13.581468878836228,-,1
Checked maps,c4c1,1.9606110494572582,-,1
I looked for information about the place I want to go visit/eat,c4c2,9.9566480897767136,-,1
I looked for resources or events about my local neighbourhood,c4d,1.5395547945205492,-,1
I got involved online in a local organisation or charity,c4f,1.608321799018624,-,1
I used the internet to help somebody else,c4g,3.693305256739305,-,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,9.4766985070505676,-,1
I looked for the news online,c4h,20.628567562538304,-,1
I discussed political or social problems with other people online,c4i,8.3066310129966414,-,1
I got involved online in a campaign or protest,c4j,0.018766933593830859,+,1
I signed a petition online,c4k,0.891575146068323,+,1
I used the internet to join a civic; religious or political group,c4l,1.3821853869945662,-,1
I posted videos or music created by someone else,c4o,1.2518819341736678,-,1
I created my own video or music and uploaded it to share,c4m,2.9747617750047448,-,1
I created a blog or story or website online,c4n,0.31707390472200447,-,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.024833418773724407,-,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,8.8512520429441413,-,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,27.077917425840493,-,1
I helped someone else who needed or wanted to go online,c4t,7.0297213353093033,-,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,8.5119729627716136,-,1
I commented on the updates that friends or family have put online,c4u,31.610997283590244,-,1
I re-posted or shared a social media post online,c4t1,14.839267798779554,-,1
I showed my friends or family something that I saw online,c4v,9.3578762236475299,-,1
I visited a chatroom to meet new people [insert local examples],c4w,6.3606394371246511,-,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,3.4626594763993435,-,1
I played online games alone,c4y,1.5633767101982439,+,1
I played games with other people online,c4z,0.32859526103296938,+,1
I listened to music online (by downloading or streaming),c4bb,9.5676874472489803,-,1
I watched my favourite TV shows,c4cc,0.99935560539325785,-,1
I joined a fan site (of a celebrity or popular band),c4cc1,7.0095374338896432,-,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,27.262165617336258,-,1
I looked for health information for myself or someone I know,c4ee,6.8790131447410712,-,1
I participated in a site where people share my interests or hobbies,c4ff,7.1464441577583617,-,1
I browsed for things to buy,c4hh,8.8048994758250068,-,1
I checked out what things cost by looking online,c4hh1,7.901120419816424,-,1
