C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\nation_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\rizal_preprocessed.csv,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
I know how to behave according to the situation online,e1o,11.44092537,-,1
null,f28,10.405533,-,1
I finish the work I'm doing. My attention is good,a20l,10.01545293,-,1
Explained why some websites are good or bad,j5f,9.901521318,-,1
I know how to safeguard my online expenses while using mobile apps,e1w,9.851696214,-,1
Compare similar apps to choose the one that is most reliable,e3i,9.814995193,-,1
null,i8c,9.568991054,+,1
null,f45f,8.912393581,-,1
I know how to change my privacy settings (e.g. on a social networking site),e1b,8.783930452,-,1
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,7.095699654,-,1
I know when I should and shouldn't share information online,e1n,7.006903524,-,1
I find it easy to choose the best keywords for online searches,e1h,6.54191337,-,1
I think before I do things,a20o,5.898471921,-,1
Encouraged me to explore and learn things on the internet,k2b,5.783773451,-,1
I can stay calm when things get difficult because I am good at coping,a26g,5.66427751,-,1
Sometimes I end up on websites without knowing how I got there,e1k,5.529026994,-,1
I know which information I should and shouldn't share online,e1l,5.399507707,-,1
Update my status on the social networking site I use the most,e3g,5.028184461,-,1
I try to be nice to other people. I care about their feelings,a20v,4.923960108,-,1
Other children are treated better than me,a21a,4.756218359,-,1
My friends really try to help me,k1a,4.645979544,-,1
I have tried unsuccessfully to spend less time on the internet,f45d,4.632840868,-,1
In general; talked to me about what I would do if something on the internet ever bothered me,j5i,4.555381489,-,1
I have at least one good friend,a20s,4.537849354,-,1
Suggested ways to behave towards other people on the internet,k2e,4.496040738,-,1
Helped me when I found something difficult to do on the internet,k2c,4.272610723,-,1
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,4.231375583,-,1
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,4.137367878,-,1
Your correct age,d9f,4.054110588,-,1
I usually share with others (food; games; pens etc.),a20x,3.982562138,-,1
Find information on how to use smartphones safely,e3h,3.97872062,-,1
I think the amount of time I spend on the internet causes problems for me,f45e,3.860954765,-,1
A friend around my age,h2c,3.799448958,-,1
YouTube,d1g,3.752887055,-,1
It's easy for me to stick to my aims and achieve my goals,a26c,3.510232401,-,1
At school or college,b6a,3.499581303,+,1
I can talk about my problems with my friends,k1c,3.401489618,-,1
I know how to block,e1m1,3.393927947,-,1
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,3.295652053,-,1
I am helpful if someone is hurt; upset or feeling ill,a20u,3.259967796,-,1
I find it easy to find a website I have visited before,e1i,3.045698776,-,1
I know how to save a photo that I find online,e1a,2.848108541,-,1
null,k3,2.756808183,-,1
A friend around my age,c7c,2.713962587,-,1
Suggested ways to behave towards other people online,j5g,2.61993174,-,1
My mother or father (or step/foster mother or father),c7a,2.426997528,-,1
When I use the internet; I feel I want to achieve more in life.,a29b,2.333796546,-,1
Visit a chat room,i6f,2.332134446,+,1
I watched my favourite TV shows,c4cc,2.286002164,-,1
Your school,d9e,2.241554511,-,1
I am confident that I can deal with unexpected problems,a26d,2.111633042,-,1
I know what to do if someone acts online in a way I don't like,d2c,2.004674272,-,1
I learned something new by searching online,c4a,1.877473328,+,1
I often volunteer to help others (e.g.; parents; carers; teachers; children),a20w,1.839235778,-,1
Helped my parent/carer to do something they found difficult on the internet,i5b,1.809806509,-,1
Made rules about what I can do on the internet at school,j5c,1.804244948,-,1
null,i8a,1.769678283,-,1
Block push notifications from different apps,e3c,1.762343096,-,1
Take a picture or a video with my smartphone and post it onto social media,e3j,1.745670179,-,1
Making pictures,c10c,1.684606433,-,1
I get very angry and often lose my temper,a20a,1.632957515,-,1
I find it easy to check if the information I find online is true,e1g,1.567884092,-,1
Encouraged me to explore and learn things on the internet,j5b,1.486791721,-,1
When I use the internet; I learn about different things that I could study; do or become what I want to be as productive as possible.,a29a,1.473090833,-,1
I worry a lot,a20f,1.46683627,-,1
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,1.453245024,+,1
null,i1,1.424324213,+,1
Started a discussion with my parent/carer about what I do on the internet,i5c,1.395382799,-,1
When I am somewhere by myself,b6f,1.306173471,-,1
Helped me when I found something difficult to do or find on the internet,j5d,1.278234446,-,1
Helps me when something is difficult to do or find on the internet,i4h,1.261811477,+,1
I listened to music online (by downloading or streaming),c4bb,1.148858296,-,1
null,a16,1.143548234,-,1
I know how to post online video or music that I have created myself,e1q,1.101755503,-,1
You can trust people around here,k4c,1.09793068,-,1
Your brother or sister (including step siblings),h2b,1.04593007,-,1
null,a15,1.04593007,-,1
Your phone number,d9d,1.038261761,-,1
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,1.004331412,+,1
I watched video clips (e.g. on YouTube [insert local examples]),c4x,0.957924174,-,1
A mobile phone that is not a smartphone,b7a,0.9233935,-,1
Pictures showing whole body,d9k,0.921660191,-,1
I visited a social network site (e.g.; Facebook [add local examples]),c4p,0.866237217,+,1
I get worried when I �?nd out my friends are having fun without me ,k1d,0.853615734,-,1
null,d10,0.847357718,+,1
Explained why some websites are good or bad,k2d,0.818702143,-,1
I looked for the news online,c4h,0.794748891,-,1
Siblings (including half; step or foster siblings),a3f,0.78721685,-,1
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,0.777226504,-,1
An age that is not your real age,d9g,0.761896829,+,1
Does shared activities together with me on the internet,i4f,0.745492553,-,1
In the home of friends or relatives,b6c,0.727729329,+,1
I can count on my friends when things go wrong,k1b,0.71257694,-,1
Suggested ways to use the internet safely,k2a,0.697761143,-,1
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,0.697734488,-,1
I played online games alone,c4y,0.681689823,+,1
Helped me in the past when something has bothered me on the internet,j5h,0.667299929,+,1
Sits with me while I use the internet,i4d,0.656654217,-,1
PisoNet,b6g,0.590032986,+,1
Spend time in a virtual world (e.g.; Habbo; Club Penguin; Minecraft [add examples as needed]),i6j,0.479803509,+,1
Places you've dined and visited,d9j,0.470079701,-,1
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,0.454583893,-,1
I have many fears and I am easily scared,a20j,0.443561774,-,1
null,i8e,0.425799249,+,1
When I speak someone listens to what I say,i2a,0.392719149,-,1
I commented on the updates that friends or family have put online,c4u,0.392355255,-,1
Stays nearby when I use the internet,i4e,0.33241028,-,1
Other people my age generally like me,a20p,0.315325427,-,1
Suggests ways to use the internet safely,i4b,0.293826815,-,1
I used the internet for schoolwork,c4c,0.282998453,+,1
Grandparent(s) or other relatives,a3e,0.267986012,+,1
Asked my parent/carer for something that I have seen advertised online,i5e,0.258325199,+,1
Your address,d9c,0.253379959,+,1
In a public place (for example; in libraries; cafés; computer shops),b6d,0.221150146,+,1
Making presentations,c10a,0.146833375,-,1
I help out at home,a4f,0.141506476,-,1
Ask for your parent's/carer's help with a situation on the internet that I could not handle,i5f,0.122642144,+,1
Talks to me about what I do on the internet,i4c,0.121503795,-,1
Helped me in the past when something has bothered me on the internet,k2f,0.120624509,-,1
null,a14,0.107060235,-,1
Encourages me to explore and learn things on the internet,i4a,0.105809454,+,1
A friend around my age,c6c,0.092547506,-,1
I usually do as I am told,a20b,0.090348543,+,1
null,d12,0.076096049,-,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,0.072945072,+,1
Your mother or father (including step/foster mother or father),h2a,0.059293022,-,1
Talked to me about what I do on the internet,j5e,0.058194441,+,1
At home,b6b,0.045081252,-,1
I feel safe in the area where I live,k4a,0.044591273,-,1
Writing things,c10b,0.044137331,-,1
My mother or father (or step/foster mother or father),c6a,0.038231298,+,1
Doing group work with other students,c10f,0.037184459,-,1
It is safe for younger children to play outside during the day,k4b,0.037106633,+,1
Practising something I am learning (e.g. maths or a language or music),c10d,0.034180783,+,1
Explains why some websites are appropriate or inappropriate,i4i,0.031399744,+,1
null,i8d,0.028953558,+,1
A desktop computer,b7c,0.021287001,-,1
Helps me when something bothers me on the internet,i4j,0.020207288,-,1
null,b10a,0.019130681,-,1
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,0.015767828,-,1
Ways of courtship,f41g,0.013318416,+,1
I re-posted or shared a social media post online,c4t1,0.011433349,+,1
Told my parent/carer about things that bother or upset me on the internet,i5a,0.011427297,+,1
null,c2,0.00749381,+,1
Asked for my parent's/carer's advice on how I should act online,i5d,0.00585787,-,1
Talks to me about what to do if something online bothers or upsets me,i4g,0.00553286,-,1
null,i8b,0.004818897,-,1
Suggested ways to use the internet safely,j5a,0.002985403,+,1
A friend around my age,c8c,0.001471254,+,1
Age,b3,0.000831183,+,1
Mother,a3a,,,1
Father,a3b,,,1
Step or foster mother,a3c,,,1
Step or foster father,a3d,,,1
My spouse or partner (including boyfriend/girlfriend),a3g,,,1
My child or children,a3h,,,1
Parents (or relatives) of my spouse or partner,a3i,,,1
I live in a foster home or children's home,a3j,,,1
I live alone,a3k,,,1
Someone or somewhere else: please state____,a3l,,,1
I am a school student,a4a,,,1
I am a student in college,a4g,,,1
I am attending training in technical/vocational course,a4h,,,1
I do paid employment,a4c,,,1
I do unpaid work,a4d,,,1
I am looking for work,a4e,,,1
I am currently in a vacation,a4i,,,1
Schooling,a5,,,1
null,b1,,,15
When I am on my way somewhere (e.g. on the street; in a bus or car),b6e,,,1
A laptop or notebook computer,b7d,,,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,,,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,,,1
A mobile phone that is not a smartphone,b8a,,,1
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,,,1
A desktop computer,b8c,,,1
A laptop or notebook computer,b8d,,,1
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,,,1
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,,,1
I use a postpaid plan (i.e.; with contracts),b9a,,,1
My parents,b10b1,,,1
My siblings,b10b2,,,1
Relatives,b10b3,,,1
Friends who are the same age as I am,b10c1,,,1
Friends who are older than me,b10c2,,,1
My teacher,b10d,,,1
Others,b10e,,,1
Hours,b11,,,11
Hours,b12,,,11
null,c1,,,1
I looked for information about work or study opportunities,c4b,,,1
Checked maps,c4c1,,,1
I looked for information about the place I want to go visit/eat,c4c2,,,1
I looked for resources or events about my local neighbourhood,c4d,,,1
I got involved online in a local organisation or charity,c4f,,,1
I used the internet to help somebody else,c4g,,,1
I used the internet to talk to people from places or backgrounds different from mine,c4e,,,1
I discussed political or social problems with other people online,c4i,,,1
I got involved online in a campaign or protest,c4j,,,1
I signed a petition online,c4k,,,1
I used the internet to join a civic; religious or political group,c4l,,,1
I posted videos or music created by someone else,c4o,,,1
I created my own video or music and uploaded it to share,c4m,,,1
I created a blog or story or website online,c4n,,,1
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,,,1
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,,,1
I helped someone else who needed or wanted to go online,c4t,,,1
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,,,1
I showed my friends or family something that I saw online,c4v,,,1
I visited a chatroom to meet new people [insert local examples],c4w,,,1
I played games with other people online,c4z,,,1
I joined a fan site (of a celebrity or popular band),c4cc1,,,1
I looked for health information for myself or someone I know,c4ee,,,1
I participated in a site where people share my interests or hobbies,c4ff,,,1
I browsed for things to buy,c4hh,,,1
I checked out what things cost by looking online,c4hh1,,,1
I have sold an item online,c4hh2,,,1
My brother or sister (or step/foster/half siblings),c6b,,,1
A teacher,c6d,,,1
Another adult I trust,c6e,,,1
